Experiment Name,# Points,# Base Stations,NN Type,NN Size,Training Data Type,Dimensions,Accuracy,bs_type,addnoise_train,addnoise_test,noise_model,noise_params,bases_to_noise,num_iterations_per_setting,experiment_setname
exp3_wnoise_setting1,100,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting2,200,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting3,500,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting4,1000,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting5,2000,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting6,100,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.02}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting7,200,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.02}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting8,500,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.02}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting9,1000,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.02}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting10,2000,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.02}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting11,100,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.05}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting12,200,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.05}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting13,500,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.05}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting14,1000,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.05}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting15,2000,3,bmlp,"[500,50,200,50]",Uniform,2,,colinear,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.05}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting16,100,3,snbp-mlp,"[[500,50],[200,50]]",Uniform,2,,structured,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting17,200,3,snbp-mlp,"[[500,50],[200,50]]",Uniform,2,,structured,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
exp3_wnoise_setting18,500,3,snbp-mlp,"[[500,50],[200,50]]",Uniform,2,,structured,True,True,add_angle_dependent_noise,"{'noise_type': 'gaussian', 'k': 4, 'j': 1, 'mean': 0, 'std':0.01}","[0,1,2]",50,exp3_angledependent_median
